Date,sTime,Bench,myid,yourid,realDist,N,aveFRSSI,txPower,signalSize
2020-08-28,12:34:56,jh,jh,syk,3,10.21,-68.75,-20,556
2020-08-28,12:34:56,jh,syk,jh,3,12.67,-80.5,-20,382
2020-08-28,12:37:21,jh,jh,syk,3,9.57,-65.68,-20,748
2020-08-28,12:37:21,jh,syk,jh,3,12.51,-79.7,-20,502
2020-08-28,12:39:14,jh,syk,jh,3,12.6,-80.17,-20,108
2020-08-28,12:39:14,jh,jh,syk,3,9.59,-65.81,-20,208
2020-08-28,12:44:20,jh,syk,jh,3,12.46,-79.48,-20,220
2020-08-28,12:44:20,jh,jh,syk,3,9.48,-65.24,-20,558
2020-08-28,12:46:43,jh,jh,syk,3,9.25,-64.16,-20,594
2020-08-28,12:46:43,jh,syk,jh,3,11.87,-76.68,-20,242
2020-08-28,12:48:15,jh,jh,syk,3,9.58,-65.75,-20,372
2020-08-28,12:48:15,jh,syk,jh,3,12.54,-79.85,-20,198
2020-08-28,12:49:47,jh,syk,jh,3,12.54,-79.88,-20,190
2020-08-28,12:49:47,jh,jh,syk,3,9.52,-65.43,-20,442
2020-08-28,12:51:17,jh,syk,jh,3,12.46,-79.47,-20,54
2020-08-28,12:51:17,jh,jh,syk,3,9.54,-65.53,-20,582
2020-08-28,12:52:50,jh,syk,jh,3,12.39,-79.12,-20,142
2020-08-28,12:52:50,jh,jh,syk,3,9.65,-66.05,-20,326
2020-08-28,12:54:26,jh,syk,jh,3,12.7,-80.62,-20,188
2020-08-28,12:54:26,jh,jh,syk,3,9.78,-66.68,-20,414
2020-08-28,12:58:36,syk,syk,jh,3,12.14,-77.95,-20,46
2020-08-28,12:58:36,syk,jh,syk,3,9.03,-63.11,-20,776
2020-08-28,13:00:07,syk,jh,syk,3,9.04,-63.14,-20,670
2020-08-28,13:00:07,syk,syk,jh,3,12.16,-78.05,-20,24
2020-08-28,13:01:43,syk,jh,syk,3,9.06,-63.25,-20,762
2020-08-28,13:01:43,syk,syk,jh,3,12.01,-77.32,-20,42
2020-08-28,13:03:11,syk,jh,syk,3,8.98,-62.88,-20,748
2020-08-28,13:03:11,syk,syk,jh,3,11.94,-77.02,-20,60
2020-08-28,13:04:42,syk,syk,jh,3,12.05,-77.5,-20,46
2020-08-28,13:04:42,syk,jh,syk,3,9.06,-63.27,-20,698
2020-08-28,13:08:22,syk,jh,syk,3,8.81,-62.08,-20,812
2020-08-28,13:08:22,syk,syk,jh,3,11.71,-75.91,-20,44
2020-08-28,13:09:52,syk,jh,syk,3,8.79,-61.94,-20,814
2020-08-28,13:09:52,syk,syk,jh,3,11.75,-76.07,-20,48
2020-08-28,13:11:32,syk,jh,syk,3,9.08,-63.37,-20,748
2020-08-28,13:11:32,syk,syk,jh,3,12.06,-77.55,-20,80
2020-08-28,13:13:03,syk,jh,syk,3,9.13,-63.6,-20,626
2020-08-28,13:13:03,syk,syk,jh,3,12.18,-78.13,-20,36
2020-08-28,13:14:54,syk,syk,jh,3,12.04,-77.46,-20,46
2020-08-28,13:14:54,syk,jh,syk,3,9.05,-63.19,-20,758
2020-08-28,15:39:05,hj,syk,hj,5,8.53,-79.68,-20,158
2020-08-28,15:39:05,hj,hj,syk,5,6.73,-67.09,-20,2208
2020-08-28,16:09:18,syk,hj,syk,5,7.6,-73.16,-20,1400
